Committee(s) (modern name as of 2020),Subcommittee(s) (name at time of hearing),Title,Link,Hearing Date,Sortable Hearing Date,Chamber,Majority,Topic areas,Description,Event,ID,Witness 1,Witness 1 Federal Employee?,Witness 2,Witness 2 Federal Employee?,Witness 3,Witness 3 Federal Employee?,Witness 4,Witness 4 Federal Employee?,Witness 5,Witness 5 Federal Employee?,Witness 6,Witness 6 Federal Employee?,Witness 7,Witness 7 Federal Employee?,Witness 8,Witness 8 Federal Employee?,Witness 9,Witness 9 Federal Employee?,Witness 10,Witness 10 Federal Employee?,Witness 11,Witness 11 Federal Employee?,Witness 12,Witness 12 Federal Employee?,Witness 13,Witness 13 Federal Employee?,Witness 14,Witness 14 Federal Employee?,Witness 15,Witness 15 Federal Employee?,Witness 16,Witness 16 Federal Employee?
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,"Outbreaks, Attacks, and Accidents: Combatting Biological Threats",https://www.govinfo.gov/app/details/CHRG-114hhrg25164/CHRG-114hhrg25164,"February 12, 2016",2016-02-12,House,R,Threat / risk awareness,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing on how to combat biological threats. The Subcommittee discussed the federal government's gaps in preparedness and recommendations for change. The Subcommittee considered outbreaks from intentional, natural, or accidental origins, hearing testimony from private sector witnesses on topics that included leadership, coordination, medical countermeasures, and hospital preparedness.",,745,Donna Shalala,0,James Greenwood,0,Tara O'Toole,0,Gerald Parker,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Examining the U.S. Public Health Response to the Zika Virus,https://www.govinfo.gov/app/details/CHRG-114hhrg20255/CHRG-114hhrg20255,"March 2, 2016",2016-03-02,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing to examine U.S. response to the global outbreak of Zika virus disease. Testimony was heard from federal and non-federal witnesses who covered topics including surveillance, vaccines, and hospital readiness. The Subcommittee looked at medical, economic, and social effects of the outbreak, and discussed how previous outbreak responses tended to be reactionary.",2016 Zika,746,Luciana Borio,1,Anthony Fauci,1,Thomas Frieden,1,Nicole Lurie,1,Timothy Persons,1,Peter Hotez,0,Lawrence Gostin,0,Joseph Conlon,0,Jeanne Sheffield,0,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Combatting Superbugs: U.S. Public Health Responses to Antibiotic Resistance,https://www.govinfo.gov/app/details/CHRG-114hhrg21484/CHRG-114hhrg21484,"June 14, 2016",2016-06-14,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing on antimicrobial resistance (AMR). The Subcommittee heard testimony from officials within the Department of Health and Human Services largely on the topic of antibiotic resistance. Conversation covered the threat of antibiotic-resistant bacteria to hospital patients, collaboration among U.S. government agencies to combat AMR, and the development of new antibiotics and other treatments.",,927,Beth Bell,1,Dennis Dixon,1,Richard Hatchett,1,Janet Woodcock,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,U.S. Public Health Response to the Zika Virus: Continuing Challenges,https://www.govinfo.gov/app/details/CHRG-115hhrg26480/CHRG-115hhrg26480,"May 23, 2017",2017-05-23,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing on the U.S. government's response to the spread of Zika virus within in the United States. The Subcommittee heard testimony from senior federal government officials, including from the Department of Health and Human Services. The hearing touched on a report from the Government Accountability Office highlighting failures and challenges of the U.S. response—including the lack of a standardized case definition, difficulties in developing and approving effective diagnostics, and coordination issues between the federal and state governments—as well as efforts by U.S. agencies to combat the virus and the adequacy of funding levels thereof.",2016 Zika,928,Luciana Borio,1,Rick Bright,1,Anthony Fauci,1,Timothy Persons,1,Lyle Petersen,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Examining U.S. Public Health Preparedness for and Response Efforts to Seasonal Influenza,https://www.govinfo.gov/app/details/CHRG-115hhrg30456/CHRG-115hhrg30456,"March 8, 2018",2018-03-08,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing to examine the threat to the United States from seasonal influenza, with particular focus on the year's severe flu season and the nation's infrastructure to respond to this and other public health emergencies. The Subcommittee heard from senior officials within the Department of Health and Human Services. Among other topics, conversation centered on the role of flu vaccination (and other medical countermeasures), including issues with vaccine uptake, vulnerabilities of and timeliness issues with the egg-based vaccine manufacturing, and the potential for a universal flu vaccine.",,931,Rick Bright,1,Anthony Fauci,1,Scott Gottlieb,1,Anne Schuchat,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,"The State of U.S. Public Health Biopreparedness: Responding to Biological Attacks, Pandemics, and Emerging Infectious Disease Outbreaks",https://www.govinfo.gov/app/details/CHRG-115hhrg35127/CHRG-115hhrg35127,"June 15, 2018",2018-06-15,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing on the state of U.S. preparedness for health emergencies. The Subcommittee heard testimony from senior Department of Health and Human Services officials.  Conversation focused on the reauthorization of the Pandemic and All-Hazards Preparedness Act; issues facing the Strategic National Stockpile in preparing an adequate supply of medical countermeasures; and the effort of U.S. government programs to better prepare for emerging infectious disease and pandemics, improve coordination, prevent and respond to biological attacks, and improve laboratory biosafety.",,934,Rick Bright,1,Anthony Fauci,1,Denise Hinton,1,Anne Schuchat,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),,Assessing the National Pandemic Flu Preparedness Plan,https://www.govinfo.gov/app/details/CHRG-109hhrg26891/CHRG-109hhrg26891,"November 8, 2005",2005-11-08,House,R,Strategic planning,"The House Committee on Energy and Commerce held a hearing to discuss the national pandemic influenza preparedness. The Secretary of Health and Human Services testified on the National Strategy for Pandemic Influenza and its implementation plan, and other actions taken by the Administration such as programs for global surveillance, cooperation with the international community, and development of an H5N1 influenza vaccine. The Committee explored how to increase vaccine manufacturing capacity by creating incentives for the adoption of new production technologies and provision of liability protections.",,871,Michael Leavitt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),,Preparing for the 2009 Pandemic Flu,https://www.govinfo.gov/app/details/CHRG-111hhrg74097/CHRG-111hhrg74097,"September 15, 2009",2009-09-15,House,D,Medical preparedness / emergency response,"The House Committee on Energy and Commerce held a hearing on the nation's preparedness for the H1N1 influenza pandemic. The Committee heard testimony from senior officials within the Department of Health and Human Services. Conversation centered on the known features of the virus, the federal government's pandemic planning and response, the state of medical preparedness in hospitals and the broader health care system, the development of a vaccine, and the overlapping challenges posed by simultaneous waves of H1N1 and seasonal influenza.",2009 H1N1,899,Kathleen Sebelius,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Financial Services (US),Subcommittee on Oversight and Investigations,Pandemic Influenza Preparedness in the Financial Services Sector,https://www.govinfo.gov/app/details/CHRG-109hhrg31533/CHRG-109hhrg31533,"June 29, 2006",2006-06-29,House,R,Other,"The House Committee on Financial Services Subcommittee on Oversight and Investigations held a hearing to evaluate the financial sector's preparedness for pandemic influenza. Members noted the leadership of the financial services sector in preparedness planning, and drew out challenges the sector was still facing. The hearing addressed the importance of telecommunications for maintaining continuity of operations, telecommuting strategies, and maintenance of financial data security.",,727,Edwin Collins,0,Gregory Ferris,0,Robert Gleeson,0,D. Scott Parsons,1,Edward Yingling,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),Subcommittee on Africa and Global Health,"Global Health Emergencies Hit Home: The ""Swine Flu"" Outbreak",https://www.govinfo.gov/app/details/CHRG-111hhrg49548/CHRG-111hhrg49548,"May 6, 2009",2009-05-06,House,D,International aid / collaboration,"The House Committee on Foreign Affairs Subcommittee on Africa and Global Health held a hearing on the pandemic spread of the H1N1 strain of influenza, with a focus on the virus' impacts on Africa and the United States. The Subcommittee heard testimony from senior officials in the Department of Health and Human Services and the U.S. Agency for International Development. Conversation centered on the importance of funding for robust health system strengthening at home and abroad; surveillance issues with the pandemic, particularly in Africa; and the role of U.S. international aid for health.",2009 H1N1,896,Anthony Fauci,1,Anne Schuchat,1,Dennis Carroll,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),"Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations",Combating the Ebola Threat,https://www.govinfo.gov/app/details/CHRG-113hhrg89385/CHRG-113hhrg89385,"August 7, 2014",2014-08-07,House,R,International aid / collaboration,"The House Committee on Foreign Affairs Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations held a hearing to evaluate the 2014 Ebola outbreak. The subcommittee was interested in the risk the outbreak posed to the United States. Members also discussed potential assistance the United States could offer to West Africa to aid outbreak response.",2014-2016 Ebola (West Africa),738,Thomas Frieden,1,Ariel Pablos-Mendez,1,Bisa Williams,1,Ken Isaacs,0,Frank Glover,0,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),"Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations",Global Efforts to Fight Ebola,https://www.govinfo.gov/app/details/CHRG-113hhrg89811/CHRG-113hhrg89811/contexthttps://www.govinfo.gov/app/details/CHRG-113hhrg89811/CHRG-113hhrg89811,"September 17, 2014",2014-09-17,House,R,International aid / collaboration,"The House Committee on Foreign Affairs Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations held a hearing to reassess the ongoing 2014 Ebola outbreak. Federal and non-federal witnesses provided testimony on aspects of the outbreak response to date. The Subcommittee discussed the ""critical mass"" of medical resources needed to alleviate pressure in afflicted areas.",2014-2016 Ebola (West Africa),739,Anthony Fauci,1,Luciana Borio,1,Beth Bell,1,Nancy Lindborg,1,Kent Brantly,0,Chinua Akukwe,0,Ted Alemayhu,0,Dougbeh Chris Nyan,0,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),"Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations",Fighting Ebola: A Ground-Level View,https://www.govinfo.gov/app/details/CHRG-113hhrg91452/CHRG-113hhrg91452,"November 18, 2014",2014-11-18,House,R,International aid / collaboration,"The House Committee on Foreign Affairs Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations held a hearing on implementation of international aid for the 2014 Ebola outbreak. The Subcommittee focused on actions taken in Liberia by non-governmental organizations. Scarcity of healthcare workers was discussed as a major barrier.",2014-2016 Ebola (West Africa),742,Rabih Torbay,0,Brett Sedgewick,0,Darius Mans,0,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),"Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations",Eradicating Ebola: Lessons Learned and Medical Advancements,https://www.govinfo.gov/app/details/CHRG-116hhrg36558/CHRG-116hhrg36558,"June 4, 2019",2019-06-04,House,D,International aid / collaboration,"The House Committee on Foreign Affairs Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations held a hearing on the ongoing outbreak of Ebola virus disease in the Democratic Republic of the Congo (DRC) and the role of U.S. foreign assistance in addressing the outbreak. The Subcommittee heard testimony from senior officials from the U.S. Agency for International Development (USAID) and the Centers for Disease Control and Prevention (CDC). Conversation focused on the difficulties of delivering aid and combatting the virus in a conflict zone, lessons learned from addressing the previous West Africa Ebola epidemic, and potential political barriers to delivering aid from the U.S. government to the DRC.",2018-2020 Ebola (DRC),937,Robert Redfield,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),"Subcommittee on Terrorism, Nonproliferation and Trade",National Strategy for Countering Biological Threats: Diplomacy and International Programs,https://www.govinfo.gov/app/details/CHRG-111hhrg55516/CHRG-111hhrg55516,"March 18, 2010",2010-03-18,House,D,Strategic planning,"The House Committee on Foreign Affairs Subcommittee on Terrorism, Nonproliferation and Trade held a hearing to evaluate the Obama Administration's National Strategy for Countering Biological Threats. The Subcommittee heard updates on diplomatic and international efforts to counteract bioterrorism, discussed the kinds of outbreaks that could have epidemic or pandemic potential, and considered the ways that the Strategy was structured to support both intentional and non-intentional outbreaks. The Subcommittee also discussed weaknesses in the strategy as identified by the Commission on the Prevention of Weapons of Mass Destruction Proliferation and Terrorism.",,733,Vann Van Diepen,1,Stephen Rademaker,0,Barry Kellman,0,Jonathan Tucker,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),,Emerging Infectious Diseases: Threat to U.S.,https://books.google.com/books/about/The_Threat_to_the_United_States_from_Eme.html?id=1kGgwcRFf8UC,"July 30, 1997",1997-07-30,House,R,Threat / risk awareness,The House Committee on International Relations (now the Committee on Foreign Affairs) held a hearing on the threat emerging infectious diseases posed to national security. Members discussed the importance of international collaboration to create global monitoring networks as well as to provide global access to information. The Committee also examined U.S. contributions to international aid projects.,,749,Sally Shelton,1,David Heymann,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),,Avian Flu: Addressing the Global Threat,https://www.govinfo.gov/app/details/CHRG-109hhrg24906/CHRG-109hhrg24906,"December 7, 2005",2005-12-07,House,R,Threat / risk awareness,The House Committee on International Relations held a hearing on the threat of avian influenza. Discussion focused on how the increasingly interconnected world could influence outcomes of an avian influenza outbreak. Some discussants noted that international collaboration would be especially important in addressing a global threat like an emerging avian flu strain.,2005 H5N1,723,Anthony Rock,1,Kent Hill,1,Anne Schuchat,1,Anthony Fauci,1,Margaret Chan,0,Michael Osterholm,0,,,,,,,,,,,,,,,,,,,,
House Committee on Foreign Affairs (US),,Combating Ebola in West Africa: The International Response,https://www.govinfo.gov/app/details/CHRG-113hhrg91450/CHRG-113hhrg91450,"November 13, 2014",2014-11-13,House,R,International aid / collaboration,"The House Committee on Foreign Affairs held a hearing on the role of the U.S. government and international actors in addressing the West Africa Ebola epidemic. The Committee heard testimony from several senior federal officials. Topics discussed included early failures of the World Health Organization (WHO) to respond adequately to the virus, the need for WHO reform, U.S. partnerships with other nations and with non-governmental organizations to combat the virus, and the economic impact of the epidemic.",2014-2016 Ebola (West Africa),912,Rajiv Shah,1,Bisa Williams,1,Michael Lumpkin,1,James Lariviere,1,Nadja West,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),Subcommittee on Counterterrorism and Intelligence,"Counterterrorism Efforts to Combat a Chemical, Biological, Radiological, and Nuclear (CBRN) Attack on the Homeland",https://www.govinfo.gov/app/details/CHRG-113hhrg82586/CHRG-113hhrg82586,"April 25, 2013",2013-04-25,House,R,Medical preparedness / emergency response,"The House Committee on Homeland Security Subcommittee on Counterterrorism and Intelligence held a hearing on counterterrorism efforts to prevent and respond to chemical, biological, radiological, and nuclear attacks. The Subcommittee heard from federal officials and other experts. Among other topics, those present discussed: how an effective response capability was crucial to biodefense; the need for medical countermeasures against biological agents; the need for laboratory biosafety standards; and the need for assigned federal leadership for biodefense activity.",,908,Richard Daddario,0,Huban Gowadia,1,Scott McAllister,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),Subcommittee on Emergency Preparedness and Response,Disease Surveillance Systems,https://www.govinfo.gov/app/details/CHRG-108hhrg20168/CHRG-108hhrg20168,"September 24, 2003",2003-09-24,House,R,Surveillance / detection,"The House Select Committee on Homeland Security Subcommittee on Emergency Preparedness and Response held a hearing on that nation's disease surveillance/biosurveillance systems. The Subcommittee heard from federal witnesses and medical and scientific experts. Conversation touched on both environmental biodetection and surveillance of disease in humans, and largely centered on improving the biosurveillance systems' ability to detect a bioterrorist attack.",,3350,Janet Heinrich,1,Joseph Henderson,1,John Loonsk,1,Paul Keim,0,Richard Platt,0,Jonathan Temte,0,Jeffrey Trent,0,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emergency Preparedness, Response, and Communications","Ensuring Effective Preparedness, Response, and Recovery for Events Impacting Health Security",https://www.govinfo.gov/app/details/CHRG-112hhrg72222/CHRG-112hhrg72222,"March 17, 2011",2011-03-17,House,R,Surveillance / detection,"The House Committee on Homeland Security Subcommittee on Emergency Preparedness, Response, and Communications held an oversight hearing on the Department of Homeland Security's Office of Health Affairs (OHA) efforts to prepare for and prevent biological events. The Subcommittee heard testimony from OHA leadership. The hearing focused on BioWatch, an OHA environmental detection system, as well as OHA's other activities, such as helping determine when border closures are recommended for slowing a disease outbreak.",,904,Alexander Garza,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emergency Preparedness, Response, and Communications","Taking Measure of Countermeasures (Part 1): A review of government and industry efforts to protect the homeland through accelerated research, development, and acquisition of chemical, biological, radiological and nuclear medical countermeasures",https://www.govinfo.gov/app/details/CHRG-112hhrg72228/CHRG-112hhrg72228,"April 13, 2011",2011-04-13,House,R,Medical preparedness / emergency response,"The House Committee on Homeland Security Subcommittee on Emergency Preparedness, Response, and Communications held a three-hearing series on medical countermeasures for outbreaks and other public health events. This hearing reviewed federal agencies' work on research, development, and procurement of medical countermeasures. The Subcommittee discussed barriers to progress, such as insufficient leveraging of the expertise and capabilities of larger, experienced biopharmaceutical companies due to the high opportunity costs of entering the limited chemical, biological, radiological, and nuclear medical countermeasure market. ",,734,Cynthia Bascetta,1,Segaran Pillai,1,Richard Hatchett,1,Gerald Parker,1,Phyllis Arthur,0,John Clerici,0,Daniel Fagbuyi,0,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emergency Preparedness, Response, and Communications",Taking Measure of Countermeasures (Part 2): A Review of Efforts to Protect the Homeland Through Distribution and Dispensing of CBRN Medical Countermeasures,https://www.govinfo.gov/app/details/CHRG-112hhrg72228/CHRG-112hhrg72228,"May 12, 2011",2011-05-12,House,R,Medical preparedness / emergency response,"The House Committee on Homeland Security Subcommittee on Emergency Preparedness, Response, and Communications held a a three-hearing series on medical countermeasures for outbreaks and other public health events. This hearing reviewed federal agencies' efforts to develop plans for the distribution and dispensing of medical countermeasures in the case of a public health emergency. The Subcommittee discussed the value of public-private partnerships to increasing access to medical countermeasures via distribution and dispensing pathways, particularly in rural areas. ",,735,Alexander Garza,1,Ali Khan,1,Mike McHargue,0,David Starr,0,Lawrence Tan,0,Jeffrey Levi,0,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emergency Preparedness, Response, and Communications",Taking Measure of Countermeasures (Part 3): Protecting the Protectors,https://www.govinfo.gov/app/details/CHRG-112hhrg77377/CHRG-112hhrg77377,"April 17, 2012",2012-04-17,House,R,Medical preparedness / emergency response,"The House Committee on Homeland Security Subcommittee on Emergency Preparedness, Response, and Communications held a held a a three-hearing series on medical countermeasures for outbreaks and other public health events. This hearing addressed the needs of the response workforce. The Subcommittee was interested in how emergency response providers could be protected through vaccination and medical kit deployment in advance of an event, and other topics.",,736,J. D. Polk,1,Edward Gabriel,1,Chris Nocco,0,Al Gillespie,0,Bruce Lockwood,0,Manuel Peralta Jr.,0,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emergency Preparedness, Response, and Communications",Improving the Department of Homeland Security's Biological Detection and Surveillance Programs,https://www.govinfo.gov/app/details/CHRG-114hhrg21524/CHRG-114hhrg21524,"February 11, 2016",2016-02-11,House,R,Surveillance / detection,"The House Committee on Homeland Security Subcommittee on Emergency Preparedness, Response, and Communications held a hearing on Department of Homeland Security (DHS) biosurveillance programs, with a focus on their capability to detect a bioterrorist attack. The Committee heard from federal witnesses. Discussion centered on DHS programs including the National Biosurveillance Integration Center and BioWatch, and longstanding issues facing these programs as effective purveyors of critical biosurveillance information for situational awareness.",,3361,Kathryn Brinsfield,1,Reginald Brothers,1,Chris Currie,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emergency Preparedness, Response, and Communications; and Subcommittee on Cybersecurity, Infrastructure Protection, and Security Technologies",BioWatch Present and Future: Meeting Mission Needs for Effective Biosurveillance?,https://www.govinfo.gov/app/details/CHRG-112hhrg81126/CHRG-112hhrg81126,"September 13, 2012",2012-09-13,House,R,Surveillance / detection,"Two subcommittees of the House Committee on Homeland Security jointly convened a hearing to examine the biosurveillance activities of the Department of Homeland Security (DHS). The subcommittees heard from experts within the federal government and from a state government official. Conversation focused on BioWatch, an environmental detection program, and discussions of whether the program and its planned expansion were advisable uses of resources to support effective biosurveillance and biodetection for infectious pathogens.",,906,Alexander Garza,1,Rafael Borras,1,William Jenkins Jr.,1,Albert Romanosky,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology",Can BioShield Effectively Procure Medical Countermeasures that Safeguard the Nation?,https://www.govinfo.gov/app/details/CHRG-110hhrg43559/CHRG-110hhrg43559,"April 18, 2007",2007-04-18,House,D,Medical preparedness / emergency response,"The House Committee on Homeland Security Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology held a hearing on Project Bioshield, a U.S. government program to fund the development of medical countermeasures against chemical, biological, radiological and nuclear (CBRN) threats. The Subcommittee heard testimony from individuals in the pharmaceutical sector as well as senior federal officials. Conversation centered on recent difficulties encountered by Project Bioshield and whether it could efficiently incentivize the development of medical countermeasures.",,890,Jeffrey Runge,1,Gerald Parker,1,Anthony Fauci,1,Jesse Goodman,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology",Beyond the Checklist: Addressing Shortfalls in National Pandemic Influenza Preparedness,https://www.govinfo.gov/app/details/CHRG-110hhrg48967/CHRG-110hhrg48967,"September 26, 2007",2007-09-26,House,D,Strategic planning,"The House Committee on Homeland Security Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology held a hearing on planning for pandemic influenza. The subcommittee heard testimony from federal, state, and local officials. Conversation centered in the inadequacy of typical disease control measures during a severe pandemic, the rising threat of pandemic flu, the lack of coordination between the various levels of government and different agencies involved in pandemic preparedness, underfunding of public health, and gaps in the National Strategy for Pandemic Influenza and the National Strategy for Pandemic Influenza Implementation Plan.",,891,Bernice Steinhardt,1,B. Tilman Jolly,1,W. Craig Vanderwagen,1,L. Anthony Cirillo,0,Peter Shult,0,Michael Caldwell,0,David Lakey,0,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology",One Year Later: Implementing the Biosurveillance Requirements of the 9/11 Act,https://www.govinfo.gov/app/details/CHRG-110hhrg46259/CHRG-110hhrg46259/contexthttps://www.govinfo.gov/app/details/CHRG-110hhrg46259/CHRG-110hhrg46259,"July 16, 2008",2008-07-16,House,D,Surveillance / detection,"The House Committee on Homeland Security Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology held a hearing to evaluate progress on implementation of the biosurveillance requirements of the 9/11 Act. Members particularly focused on the progress and future steps of the National Biosurveillance Integration Center and Project BioWatch. The Subcommittee urged further attention to threats of biological attacks.",,729,Robert Hooks,1,Eric Myers,1,William Jenkins Jr.,1,Jeffrey Stieffel,1,Frances Downes,0,James Wilson,0,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology",Real-Time Assessment of the Federal Response to Pandemic Influenza,https://www.govinfo.gov/app/details/CHRG-111hhrg55021/CHRG-111hhrg55021,"October 27, 2009",2009-10-27,House,D,Medical preparedness / emergency response,"The House Homeland Security Committee Subcommittee on Emerging Threats, Cybersecurity, and Science and Technology held an oversight hearing on the federal government's response to the 2009 H1N1 influenza pandemic. The Subcommittee heard testimony from senior officials in the Department of Health and Human Services and the Department of Homeland Security. Discussion focused on gaps in America's preparedness for pandemic influenza, including with respect to disease surveillance, government planning, medical capacity and delivery of health care under pandemic conditions, medical countermeasure and vaccine development, and the nation's public health infrastructure.",2009 H1N1,901,Alexander Garza,1,Richard Serino,1,Marcy Forman,1,Nicole Lurie,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),Subcommittee on Prevention of Nuclear and Biological Attack,Implementing the National Biodefense Strategy,https://www.govinfo.gov/app/details/CHRG-109hhrg28655/CHRG-109hhrg28655/contexthttps://www.govinfo.gov/app/details/CHRG-109hhrg28655/CHRG-109hhrg28655,"July 28, 2005",2005-07-28,House,R,Strategic planning,"The House Committee on Homeland Security Subcommittee on Prevention of Nuclear and Biological Attack held a hearing on implementation of the National Biodefense Strategy as framed by Homeland Security Presidential Directive 10 (HSPD-10), ""Biodefense for the 21st Century."" Federal witnesses testified to the pillars of biodefense as laid out in HSPD-10: threat awareness; prevention and protection; surveillance detection; and response and recovery. Conversation emphasized the need for interagency collaboration.",,722,Julie Gerberding,1,Anthony Fauci,1,Eric Schoomaker,1,John Vitko,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),Subcommittee on Prevention of Nuclear and Biological Attack,Creating a Nationwide Integrated Biosurveillance Network,https://www.govinfo.gov/app/details/CHRG-109hhrg37062/CHRG-109hhrg37062,"May 11, 2006",2006-05-11,House,R,Surveillance / detection,The House Homeland Security Committee Subcommittee on Prevention of Nuclear and Biological Attack held a hearing on the U.S. government's disease surveillance efforts in light of the possibility of the spread of highly pathogenic avian influenza. The Subcommittee heard from senior officials across the U.S. government. Conversation centered on the Department of Homeland Security's efforts to centralize all biosurveillance information from the U.S. government's various programs via a centralized National Biosurveillance Integration System (NBIS).,2005 H5N1,881,Kimothy Smith,1,John Vitko,1,Rich Besser,1,Ellen Embrey,1,John Clifford,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),"Subcommittee on Prevention of Nuclear and Biological Attack; Subcommittee on Emergency Preparedness, Science and Technology",Protecting the Homeland: Fighting Pandemic Flu From the Front Lines,https://www.govinfo.gov/app/details/CHRG-109hhrg36035/contexthttps://www.govinfo.gov/app/details/CHRG-109hhrg36035/CHRG-109hhrg36035,"February 8, 2006",2006-02-08,House,R,Medical preparedness / emergency response,"The House Committee on Homeland Security Subcommittees on Prevention of Nuclear and Biological Attack and on Emergency Preparedness, Science, and Technology held a joint hearing to evaluate national preparedness for a pandemic influenza outbreak. Private sector witnesses discussed surveillance, medical countermeasures, and medical surge capacity, among other topics. The subcommittees considered efforts in the context of the national strategy for pandemic influenza. ",,724,Ernest Blackwelder,1,David Mitchell,0,Frances Phillips,0,David Seaberg,0,Tara O'Toole,0,,,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),,Towards A National Biodefense Strategy,https://www.govinfo.gov/app/details/CHRG-108hhrg24168/CHRG-108hhrg24168,"June 3, 2004",2004-06-03,House,R,Strategic planning,"The House Select Committee on Homeland Security held a hearing on the development of national biodefense strategy. The hearing focused on progress in terms of the national medical stockpile, drug and vaccine development, and advances in detection technology. Discussion considered the need for investment to shorten the timeframe of medical countermeasures development. ",,709,Penrose Albright,1,Anthony Fauci,1,William Raub,1,Lester Martinez-Lopez,0,Shelley Hearne,0,Anna Johnson-Winegar,0,,,,,,,,,,,,,,,,,,,,
House Committee on Homeland Security (US),,Are You Ready? Implementing the National Strategy for Pandemic Influenza,https://www.govinfo.gov/app/details/CHRG-109hhrg37063/CHRG-109hhrg37063,"May 16, 2006",2006-05-16,House,R,Strategic planning,"The House Homeland Security Committee held a hearing to review the Homeland Security Council's ""National Strategy for Pandemic Influenza Implementation Plan."" The committee heard testimony from senior officials across the federal government. Conversation centered on the roles of different federal agencies and departments in mounting a response to pandemic influenza, when various non-pharmaceutical interventions should be implemented in the course of a pandemic, building medical surge capacity, and the need for coordination among governmental agencies and the private sector.",,883,Jeffrey Runge,1,John Agwunobi,1,John Clifford,1,Peter Verga,1,,,,,,,,,,,,,,,,,,,,,,,,
